Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance
.2800E+03 .7607E-01 .6290E-19 .3877E-19 .9258E-19
.2805E+03 .9919E-01 .1116E-17 .6316E-18 .1586E-17
.2810E+03 .1664E+00 .5101E-17 .2723E-17 .7087E-17
.2815E+03 .2337E+00 .8945E-16 .4392E-16 .1204E-15
.2820E+03 .2827E+00 .5193E-15 .2385E-15 .6826E-15
.2825E+03 .3046E+00 .1606E-14 .6953E-15 .2069E-14
.2830E+03 .3325E+00 .5586E-14 .2273E-14 .7051E-14
.2835E+03 .3125E+00 .9325E-14 .3595E-14 .1157E-13
.2840E+03 .3113E+00 .1278E-12 .4562E-13 .1549E-12
.2845E+03 .2438E+00 .3420E-12 .2489E-12 .5414E-12
.2850E+03 .1149E+00 .5975E-12 .4607E-12 .9718E-12
.2855E+03 .1335E+00 .3235E-11 .2731E-11 .5498E-11
.2860E+03 .2915E+00 .1331E-10 .1136E-10 .2275E-10
.2865E+03 .3472E+00 .5694E-10 .5300E-10 .1017E-09
.2870E+03 .3663E+00 .1552E-09 .1538E-09 .2866E-09
.2875E+03 .3667E+00 .5328E-09 .5960E-09 .1052E-08
.2880E+03 .2428E+00 .1676E-08 .1327E-08 .2760E-08
.2885E+03 .3479E+00 .5555E-08 .4491E-08 .9243E-08
.2890E+03 .4073E+00 .1529E-07 .1270E-07 .2578E-07
.2895E+03 .4762E+00 .4593E-07 .3995E-07 .7924E-07
.2900E+03 .5989E+00 .1245E-06 .1115E-06 .2180E-06
.2905E+03 .6262E+00 .2489E-06 .2270E-06 .4399E-06
.2910E+03 .5912E+00 .5108E-06 .4874E-06 .9243E-06
.2915E+03 .5837E+00 .1345E-05 .1226E-05 .2377E-05
.2920E+03 .5554E+00 .2853E-05 .2568E-05 .5009E-05
.2925E+03 .4814E+00 .3906E-05 .3331E-05 .6672E-05
.2930E+03 .5499E+00 .7952E-05 .6477E-05 .1328E-04
.2935E+03 .5585E+00 .1774E-04 .1408E-04 .2926E-04
.2940E+03 .4886E+00 .2662E-04 .1975E-04 .4251E-04
.2945E+03 .5269E+00 .4303E-04 .3810E-04 .7491E-04
.2950E+03 .5003E+00 .6770E-04 .6416E-04 .1221E-03
.2955E+03 .5644E+00 .1424E-03 .1006E-03 .2224E-03
.2960E+03 .6021E+00 .2344E-03 .1731E-03 .3735E-03
.2965E+03 .4776E+00 .2799E-03 .2163E-03 .4557E-03
.2970E+03 .4112E+00 .3328E-03 .2665E-03 .5512E-03
.2975E+03 .5794E+00 .7366E-03 .6245E-03 .1255E-02
.2980E+03 .5407E+00 .9919E-03 .8820E-03 .1730E-02
.2985E+03 .3673E+00 .8850E-03 .8156E-03 .1573E-02
.2990E+03 .5592E+00 .1736E-02 .1656E-02 .3141E-02
.2995E+03 .5055E+00 .2342E-02 .2380E-02 .4383E-02
.3000E+03 .4039E+00 .2358E-02 .2482E-02 .4499E-02
.3005E+03 .4257E+00 .3051E-02 .3315E-02 .5924E-02
.3010E+03 .4789E+00 .4619E-02 .5296E-02 .9246E-02
.3015E+03 .5134E+00 .6314E-02 .7512E-02 .1291E-01
.3020E+03 .3629E+00 .5032E-02 .5902E-02 .1021E-01
.3025E+03 .5272E+00 .8996E-02 .1036E-01 .1806E-01
.3030E+03 .6561E+00 .1442E-01 .1627E-01 .2860E-01
.3035E+03 .6677E+00 .1697E-01 .1909E-01 .3361E-01
.3040E+03 .5595E+00 .1531E-01 .1713E-01 .3023E-01
.3045E+03 .6284E+00 .2033E-01 .2275E-01 .4014E-01
.3050E+03 .6524E+00 .2621E-01 .2946E-01 .5188E-01
.3055E+03 .5938E+00 .2724E-01 .3063E-01 .5393E-01
.3060E+03 .5257E+00 .2549E-01 .2855E-01 .5036E-01
.3065E+03 .5679E+00 .2992E-01 .3344E-01 .5903E-01
.3070E+03 .6246E+00 .3873E-01 .4353E-01 .7666E-01
.3075E+03 .6317E+00 .4541E-01 .5130E-01 .9014E-01
.3080E+03 .6363E+00 .4723E-01 .5311E-01 .9351E-01
.3085E+03 .6595E+00 .5261E-01 .6677E-01 .1118E+00
.3090E+03 .5448E+00 .4601E-01 .5748E-01 .9684E-01
.3095E+03 .4977E+00 .4889E-01 .5930E-01 .1011E+00
.3100E+03 .4507E+00 .4754E-01 .5674E-01 .9740E-01
.3105E+03 .6927E+00 .7597E-01 .8964E-01 .1546E+00
.3110E+03 .7985E+00 .9273E-01 .1080E+00 .1873E+00
.3115E+03 .7410E+00 .8861E-01 .1022E+00 .1780E+00
