Wvlgth,Global_horizn_irradiance
280.0,1.648e-24
280.5,7.298e-23
281.0,4.0949999999999996e-22
281.5,1.753e-20
282.0,1.6e-19
282.5,5.204e-19
283.0,4.888e-19
283.5,6.839e-19
284.0,1.03e-17
284.5,3.098e-17
285.0,6.714e-17
285.5,5.094e-16
286.0,1.9e-15
286.5,8.339e-15
287.0,2.449e-14
287.5,1.01e-13
288.0,4.231e-13
288.5,1.604e-12
289.0,4.256e-12
289.5,1.253e-11
290.0,3.546e-11
290.5,7.408e-11
291.0,1.661e-10
291.5,5.144e-10
292.0,1.252e-09
292.5,1.622e-09
293.0,3.615e-09
293.5,9.319e-09
294.0,1.511e-08
294.5,2.588e-08
295.0,4.557e-08
295.5,1.112e-07
296.0,1.997e-07
296.5,2.071e-07
297.0,2.839e-07
297.5,7.757e-07
298.0,1.234e-06
298.5,1.243e-06
299.0,2.739e-06
299.5,4.567e-06
300.0,4.86e-06
300.5,6.98e-06
301.0,1.237e-05
301.5,1.917e-05
302.0,1.609e-05
302.5,3.205e-05
303.0,5.873e-05
303.5,7.415e-05
304.0,6.876e-05
304.5,0.0001066
305.0,0.0001833
305.5,0.000227
306.0,0.0002259
306.5,0.0002967
307.0,0.0004981
307.5,0.0007462
308.0,0.0007982
308.5,0.001
309.0,0.0009585
309.5,0.001671
310.0,0.001836
310.5,0.003097
311.0,0.004183
311.5,0.004155
312.0,0.004878
312.5,0.006585
313.0,0.007521
313.5,0.006896
314.0,0.009799
314.5,0.01027
315.0,0.01384
315.5,0.01062
316.0,0.01064
316.5,0.01716
317.0,0.02114
317.5,0.0212
318.0,0.01792
318.5,0.02591
319.0,0.03313
319.5,0.02374
320.0,0.02809
320.5,0.04112
321.0,0.04206
321.5,0.04074
322.0,0.0372
322.5,0.03261
323.0,0.03584
323.5,0.05013
324.0,0.05932
324.5,0.05751
325.0,0.0454
325.5,0.06318
326.0,0.08233
326.5,0.08694
327.0,0.08467
327.5,0.07959
328.0,0.06655
328.5,0.07564
329.0,0.09695
329.5,0.112
330.0,0.1109
330.5,0.08406
331.0,0.08403
331.5,0.08896
332.0,0.1017
332.5,0.103
333.0,0.1011
333.5,0.08759
334.0,0.08915
334.5,0.1078
335.0,0.104
335.5,0.1229
336.0,0.08498
336.5,0.09689
337.0,0.07785
337.5,0.09611
338.0,0.09753
338.5,0.1143
339.0,0.1133
339.5,0.1089
340.0,0.1258
340.5,0.1139
341.0,0.1126
341.5,0.1037
342.0,0.124
342.5,0.1162
343.0,0.1275
343.5,0.1198
344.0,0.08721
344.5,0.08918
345.0,0.1185
345.5,0.1212
346.0,0.1032
346.5,0.1169
347.0,0.1252
347.5,0.1011
348.0,0.1156
348.5,0.1157
349.0,0.1075
349.5,0.1064
350.0,0.1316
350.5,0.1387
351.0,0.1237
351.5,0.1198
352.0,0.129
352.5,0.1008
353.0,0.1271
353.5,0.1359
354.0,0.141
354.5,0.1431
355.0,0.1427
355.5,0.1291
356.0,0.1353
356.5,0.1156
357.0,0.0955
357.5,0.117
358.0,0.09277
358.5,0.07933
359.0,0.111
359.5,0.1413
360.0,0.1499
360.5,0.1199
361.0,0.1094
361.5,0.1259
362.0,0.1089
362.5,0.1507
363.0,0.1354
363.5,0.1247
364.0,0.1525
364.5,0.1303
365.0,0.1327
365.5,0.1666
366.0,0.1766
366.5,0.166
367.0,0.1616
367.5,0.1677
368.0,0.1467
368.5,0.1481
369.0,0.16
369.5,0.1708
370.0,0.1822
370.5,0.1415
371.0,0.1513
371.5,0.1894
372.0,0.1257
372.5,0.1508
373.0,0.1535
373.5,0.09992
374.0,0.1453
374.5,0.1204
375.0,0.117
375.5,0.1748
376.0,0.145
376.5,0.1503
377.0,0.1592
377.5,0.1864
378.0,0.2022
378.5,0.1913
379.0,0.1579
379.5,0.1443
380.0,0.1501
380.5,0.1819
381.0,0.1824
381.5,0.1447
382.0,0.1285
382.5,0.1096
383.0,0.1015
383.5,0.09779
384.0,0.1079
384.5,0.1588
385.0,0.1576
385.5,0.1469
386.0,0.1259
386.5,0.1655
387.0,0.1376
387.5,0.1546
388.0,0.1429
388.5,0.1413
389.0,0.1527
389.5,0.185
390.0,0.1858
390.5,0.1711
391.0,0.2015
391.5,0.2057
392.0,0.1733
392.5,0.1553
393.0,0.08647
393.5,0.06289
394.0,0.128
394.5,0.1629
395.0,0.1988
395.5,0.202
396.0,0.1753
396.5,0.1026
397.0,0.07702
397.5,0.1567
398.0,0.2195
398.5,0.227
399.0,0.246
399.5,0.2454
400.0,0.2548
401.0,0.2612
402.0,0.276
403.0,0.2626
404.0,0.2588
405.0,0.2589
406.0,0.2551
407.0,0.2513
408.0,0.2612
409.0,0.2798
410.0,0.2447
411.0,0.2653
412.0,0.2853
413.0,0.2784
414.0,0.2822
415.0,0.2832
416.0,0.2885
417.0,0.2817
418.0,0.2767
419.0,0.2807
420.0,0.2797
421.0,0.2929
422.0,0.2785
423.0,0.2722
424.0,0.2881
425.0,0.2879
426.0,0.2807
427.0,0.2757
428.0,0.2688
429.0,0.255
430.0,0.2234
431.0,0.2214
432.0,0.2862
433.0,0.288
434.0,0.2675
435.0,0.2795
436.0,0.3154
437.0,0.3114
438.0,0.2837
439.0,0.2929
440.0,0.3024
441.0,0.3137
442.0,0.3366
443.0,0.3284
444.0,0.3355
445.0,0.3285
446.0,0.3142
447.0,0.3399
448.0,0.3449
449.0,0.3465
450.0,0.3564
451.0,0.3697
452.0,0.3565
453.0,0.3356
454.0,0.3507
455.0,0.3527
456.0,0.3612
457.0,0.3669
458.0,0.3539
459.0,0.3518
460.0,0.3523
461.0,0.3604
462.0,0.3635
463.0,0.3611
464.0,0.3559
465.0,0.3522
466.0,0.3561
467.0,0.3493
468.0,0.3534
469.0,0.3552
470.0,0.3438
471.0,0.3434
472.0,0.3619
473.0,0.3575
474.0,0.3576
475.0,0.3604
476.0,0.3492
477.0,0.3496
478.0,0.3587
479.0,0.3556
480.0,0.3554
481.0,0.3616
482.0,0.3634
483.0,0.3594
484.0,0.3526
485.0,0.3366
486.0,0.2947
487.0,0.3093
488.0,0.3391
489.0,0.3398
490.0,0.3574
491.0,0.3512
492.0,0.3317
493.0,0.3426
494.0,0.346
495.0,0.3489
496.0,0.3506
497.0,0.3557
498.0,0.3385
499.0,0.3421
500.0,0.3316
501.0,0.3246
502.0,0.3193
503.0,0.3318
504.0,0.3249
505.0,0.3338
506.0,0.3453
507.0,0.3294
508.0,0.3195
509.0,0.3286
510.0,0.3269
511.0,0.3355
512.0,0.3391
513.0,0.3212
514.0,0.3188
515.0,0.3155
516.0,0.3147
517.0,0.2796
518.0,0.2939
519.0,0.308
520.0,0.3189
521.0,0.3215
522.0,0.3212
523.0,0.3154
524.0,0.3262
525.0,0.3292
526.0,0.3136
527.0,0.2947
528.0,0.3105
529.0,0.3263
530.0,0.3212
531.0,0.3255
532.0,0.314
533.0,0.3048
534.0,0.3138
535.0,0.3206
536.0,0.3235
537.0,0.3109
538.0,0.3167
539.0,0.3143
540.0,0.3013
541.0,0.3036
542.0,0.3128
543.0,0.3087
544.0,0.3141
545.0,0.3123
546.0,0.3134
547.0,0.312
548.0,0.3077
549.0,0.3088
550.0,0.3127
551.0,0.3088
552.0,0.3107
553.0,0.3048
554.0,0.3115
555.0,0.3114
556.0,0.3068
557.0,0.2967
558.0,0.2935
559.0,0.2871
560.0,0.2904
561.0,0.2938
562.0,0.291
563.0,0.2983
564.0,0.2897
565.0,0.2867
566.0,0.282
567.0,0.287
568.0,0.2844
569.0,0.279
570.0,0.2776
571.0,0.2744
572.0,0.2814
573.0,0.284
574.0,0.2828
575.0,0.2774
576.0,0.2747
577.0,0.2777
578.0,0.2737
579.0,0.2752
580.0,0.2811
581.0,0.283
582.0,0.2894
583.0,0.291
584.0,0.2941
585.0,0.2872
586.0,0.2814
587.0,0.2877
588.0,0.2827
589.0,0.2545
590.0,0.266
591.0,0.279
592.0,0.2771
593.0,0.2789
594.0,0.2777
595.0,0.2717
596.0,0.2777
597.0,0.2747
598.0,0.2732
599.0,0.2728
600.0,0.272
601.0,0.2686
602.0,0.2661
603.0,0.2699
604.0,0.2739
605.0,0.2729
606.0,0.2734
607.0,0.2779
608.0,0.2762
609.0,0.2777
610.0,0.2762
611.0,0.2786
612.0,0.2781
613.0,0.275
614.0,0.272
615.0,0.279
616.0,0.2706
617.0,0.2706
618.0,0.2813
619.0,0.2788
620.0,0.2802
621.0,0.279
622.0,0.2702
623.0,0.2611
624.0,0.2598
625.0,0.2639
626.0,0.2695
627.0,0.2736
628.0,0.2495
629.0,0.2664
630.0,0.2598
631.0,0.2696
632.0,0.2702
633.0,0.2806
634.0,0.2789
635.0,0.2843
636.0,0.2807
637.0,0.2856
638.0,0.2886
639.0,0.2867
640.0,0.285
641.0,0.2858
642.0,0.2852
643.0,0.2899
644.0,0.2894
645.0,0.291
646.0,0.2866
647.0,0.2868
648.0,0.2897
649.0,0.2839
650.0,0.2821
651.0,0.2938
652.0,0.288
653.0,0.291
654.0,0.2875
655.0,0.2794
656.0,0.2464
657.0,0.253
658.0,0.2821
659.0,0.2817
660.0,0.2789
661.0,0.2724
662.0,0.2656
663.0,0.2644
664.0,0.2749
665.0,0.2798
666.0,0.2838
667.0,0.2865
668.0,0.2882
669.0,0.2938
670.0,0.2932
671.0,0.2937
672.0,0.2917
673.0,0.2966
674.0,0.2961
675.0,0.2938
676.0,0.2961
677.0,0.2934
678.0,0.2944
679.0,0.2899
680.0,0.2927
681.0,0.2913
682.0,0.2914
683.0,0.2913
684.0,0.2903
685.0,0.2931
686.0,0.2916
687.0,0.159
688.0,0.2009
689.0,0.2024
690.0,0.2183
691.0,0.2375
692.0,0.2555
693.0,0.2647
694.0,0.2716
695.0,0.2811
696.0,0.2831
697.0,0.2915
698.0,0.2877
699.0,0.2872
700.0,0.2841
701.0,0.2832
702.0,0.2836
703.0,0.2846
