Wvlgth,Difuse_horizn_irradiance
280.0,8.85e-19
280.5,5.266e-20
281.0,1.677e-19
281.5,1.928e-18
282.0,9.88e-18
282.5,2.887e-17
283.0,9.629e-17
283.5,1.574e-16
284.0,2.138e-15
284.5,7.354e-15
285.0,1.369e-14
285.5,8.024e-14
286.0,3.388e-13
286.5,1.547e-12
287.0,4.417e-12
287.5,1.622e-11
288.0,4.424e-11
288.5,1.671e-10
289.0,5.282e-10
289.5,1.865e-09
290.0,5.778e-09
290.5,1.297e-08
291.0,3.086e-08
291.5,9.142e-08
292.0,2.331e-07
292.5,3.546e-07
293.0,8.362e-07
293.5,2.339e-06
294.0,4.152e-06
294.5,6.007e-06
295.0,1.147e-05
295.5,2.179e-05
296.0,3.97e-05
296.5,5.247e-05
297.0,6.768e-05
297.5,0.0001698
298.0,0.0002543
298.5,0.0002462
299.0,0.0005227
299.5,0.0008115
300.0,0.0008881
300.5,0.001241
301.0,0.002131
301.5,0.003215
302.0,0.002573
302.5,0.004666
303.0,0.007625
303.5,0.009226
304.0,0.008403
304.5,0.01157
305.0,0.01575
305.5,0.01689
306.0,0.01593
306.5,0.01902
307.0,0.02579
307.5,0.03158
308.0,0.03292
308.5,0.04224
309.0,0.03667
309.5,0.03886
310.0,0.03765
310.5,0.05988
311.0,0.07291
311.5,0.06934
312.0,0.06529
312.5,0.07637
313.0,0.08108
313.5,0.07986
314.0,0.09518
314.5,0.07959
315.0,0.1034
315.5,0.08851
316.0,0.0737
316.5,0.1016
317.0,0.1258
317.5,0.1318
318.0,0.0999
318.5,0.1181
319.0,0.1366
319.5,0.115
320.0,0.1391
320.5,0.1656
321.0,0.1412
321.5,0.1345
322.0,0.1489
322.5,0.1286
323.0,0.1241
323.5,0.1507
324.0,0.1745
324.5,0.1785
325.0,0.153
325.5,0.1991
326.0,0.2359
326.5,0.2323
327.0,0.2319
327.5,0.2245
328.0,0.2028
328.5,0.2075
329.0,0.2435
329.5,0.2741
330.0,0.2765
330.5,0.2231
331.0,0.2273
331.5,0.228
332.0,0.2424
332.5,0.2376
333.0,0.2367
333.5,0.2153
334.0,0.2199
334.5,0.2502
335.0,0.233
335.5,0.2794
336.0,0.1927
336.5,0.2186
337.0,0.1794
337.5,0.2225
338.0,0.2147
338.5,0.2526
339.0,0.2475
339.5,0.2384
340.0,0.2729
340.5,0.2449
341.0,0.2427
341.5,0.2197
342.0,0.2609
342.5,0.2427
343.0,0.2675
343.5,0.252
344.0,0.1971
344.5,0.1884
345.0,0.2451
345.5,0.2482
346.0,0.2095
346.5,0.2359
347.0,0.2533
347.5,0.2044
348.0,0.2309
348.5,0.2293
349.0,0.2117
349.5,0.209
350.0,0.2574
350.5,0.2704
351.0,0.2412
351.5,0.2352
352.0,0.2506
352.5,0.1942
353.0,0.2433
353.5,0.2587
354.0,0.2671
354.5,0.2701
355.0,0.2686
355.5,0.2419
356.0,0.2522
356.5,0.2146
357.0,0.1768
357.5,0.2157
358.0,0.1704
358.5,0.1451
359.0,0.2025
359.5,0.2576
360.0,0.272
360.5,0.2165
361.0,0.1966
361.5,0.2253
362.0,0.194
362.5,0.2674
363.0,0.2392
363.5,0.2194
364.0,0.2674
364.5,0.2277
365.0,0.2311
365.5,0.289
366.0,0.3051
366.5,0.2856
367.0,0.2771
367.5,0.2864
368.0,0.2497
368.5,0.2512
369.0,0.2705
369.5,0.2875
370.0,0.3056
370.5,0.2364
371.0,0.2518
371.5,0.314
372.0,0.2077
372.5,0.2482
373.0,0.2517
373.5,0.1633
374.0,0.2365
374.5,0.1952
375.0,0.1891
375.5,0.2815
376.0,0.2326
376.5,0.2403
377.0,0.2537
377.5,0.2959
378.0,0.3199
378.5,0.3015
379.0,0.2481
379.5,0.226
380.0,0.2343
380.5,0.2829
381.0,0.2825
381.5,0.2232
382.0,0.1976
382.5,0.1679
383.0,0.1549
383.5,0.1487
384.0,0.1635
384.5,0.2397
385.0,0.237
385.5,0.2201
386.0,0.1879
386.5,0.2462
387.0,0.204
387.5,0.2284
388.0,0.2103
388.5,0.2073
389.0,0.2231
389.5,0.2694
390.0,0.2696
390.5,0.2474
391.0,0.2904
391.5,0.2953
392.0,0.248
392.5,0.2214
393.0,0.1228
393.5,0.08903
394.0,0.1806
394.5,0.229
395.0,0.2786
395.5,0.2822
396.0,0.244
396.5,0.1422
397.0,0.1064
397.5,0.2158
398.0,0.3013
398.5,0.3105
399.0,0.3353
399.5,0.3332
400.0,0.3451
401.0,0.3561
402.0,0.3736
403.0,0.3529
404.0,0.3455
405.0,0.3436
406.0,0.3361
407.0,0.3289
408.0,0.3398
409.0,0.3618
410.0,0.3143
411.0,0.3386
412.0,0.3616
413.0,0.3507
414.0,0.3532
415.0,0.3521
416.0,0.3564
417.0,0.3459
418.0,0.3377
419.0,0.3404
420.0,0.3371
421.0,0.3509
422.0,0.3318
423.0,0.3224
424.0,0.3393
425.0,0.337
426.0,0.3265
427.0,0.3187
428.0,0.3089
429.0,0.2911
430.0,0.2535
431.0,0.25
432.0,0.3212
433.0,0.3213
434.0,0.2969
435.0,0.3086
436.0,0.346
437.0,0.3395
438.0,0.3076
439.0,0.3166
440.0,0.325
441.0,0.3352
442.0,0.3578
443.0,0.3471
444.0,0.3528
445.0,0.3436
446.0,0.3264
447.0,0.351
448.0,0.3548
449.0,0.3544
450.0,0.3626
451.0,0.3743
452.0,0.3589
453.0,0.336
454.0,0.3491
455.0,0.3496
456.0,0.3563
457.0,0.3605
458.0,0.3466
459.0,0.3431
460.0,0.3425
461.0,0.3487
462.0,0.3498
463.0,0.3459
464.0,0.3386
465.0,0.3329
466.0,0.3347
467.0,0.3272
468.0,0.3296
469.0,0.33
470.0,0.3182
471.0,0.3164
472.0,0.3321
473.0,0.3266
474.0,0.3259
475.0,0.3276
476.0,0.3168
477.0,0.3165
478.0,0.3236
479.0,0.3198
480.0,0.3185
481.0,0.3227
482.0,0.3227
483.0,0.3173
484.0,0.3096
485.0,0.2938
486.0,0.2558
487.0,0.267
488.0,0.2917
489.0,0.2915
490.0,0.3054
491.0,0.2989
492.0,0.2812
493.0,0.2893
494.0,0.291
495.0,0.2924
496.0,0.293
497.0,0.2964
498.0,0.2814
499.0,0.2839
500.0,0.2754
501.0,0.2692
502.0,0.2645
503.0,0.2744
504.0,0.2676
505.0,0.2749
506.0,0.2829
507.0,0.2685
508.0,0.2591
509.0,0.2653
510.0,0.2629
511.0,0.2688
512.0,0.2708
513.0,0.2557
514.0,0.253
515.0,0.2497
516.0,0.2484
517.0,0.2199
518.0,0.2305
519.0,0.241
520.0,0.2489
521.0,0.2504
522.0,0.2498
523.0,0.2446
524.0,0.2525
525.0,0.2547
526.0,0.2423
527.0,0.2276
528.0,0.2397
529.0,0.2516
530.0,0.2471
531.0,0.2499
532.0,0.2404
533.0,0.2325
534.0,0.2384
535.0,0.2426
536.0,0.2437
537.0,0.2332
538.0,0.2365
539.0,0.2337
540.0,0.2232
541.0,0.2241
542.0,0.2303
543.0,0.2267
544.0,0.2299
545.0,0.2281
546.0,0.2282
547.0,0.2268
548.0,0.223
549.0,0.2228
550.0,0.2247
551.0,0.2211
552.0,0.2217
553.0,0.2169
554.0,0.221
555.0,0.2205
556.0,0.2166
557.0,0.209
558.0,0.2065
559.0,0.2017
560.0,0.2034
561.0,0.2053
562.0,0.2029
563.0,0.2077
564.0,0.2012
565.0,0.1986
566.0,0.1948
567.0,0.1977
568.0,0.1955
569.0,0.191
570.0,0.1898
571.0,0.1875
572.0,0.1918
573.0,0.1932
574.0,0.1919
575.0,0.1878
576.0,0.1853
577.0,0.1865
578.0,0.1829
579.0,0.1826
580.0,0.1848
581.0,0.1847
582.0,0.1872
583.0,0.1868
584.0,0.1876
585.0,0.1823
586.0,0.1778
587.0,0.1811
588.0,0.177
589.0,0.1583
590.0,0.1648
591.0,0.1724
592.0,0.1706
593.0,0.1714
594.0,0.1701
595.0,0.166
596.0,0.1701
597.0,0.1679
598.0,0.1666
599.0,0.166
600.0,0.1652
601.0,0.1628
602.0,0.161
603.0,0.1628
604.0,0.1647
605.0,0.1633
606.0,0.1622
607.0,0.1635
608.0,0.1613
609.0,0.1611
610.0,0.1593
611.0,0.1598
612.0,0.1588
613.0,0.1563
614.0,0.1537
615.0,0.1566
616.0,0.151
617.0,0.1503
618.0,0.1555
619.0,0.1535
620.0,0.1539
621.0,0.1533
622.0,0.1497
623.0,0.1457
624.0,0.1435
625.0,0.1439
626.0,0.146
627.0,0.1477
628.0,0.1405
629.0,0.1446
630.0,0.1411
631.0,0.1433
632.0,0.1415
633.0,0.1453
634.0,0.1433
635.0,0.145
636.0,0.1424
637.0,0.1441
638.0,0.1448
639.0,0.1428
640.0,0.141
641.0,0.1405
642.0,0.1394
643.0,0.1409
644.0,0.14
645.0,0.14
646.0,0.137
647.0,0.1361
648.0,0.1362
649.0,0.1332
650.0,0.1322
651.0,0.1372
652.0,0.133
653.0,0.1347
654.0,0.1327
655.0,0.1281
656.0,0.1127
657.0,0.1153
658.0,0.1283
659.0,0.1283
660.0,0.1275
661.0,0.1264
662.0,0.1252
663.0,0.1231
664.0,0.1253
665.0,0.1257
666.0,0.1261
667.0,0.1261
668.0,0.126
669.0,0.1277
670.0,0.1269
671.0,0.1266
672.0,0.1252
673.0,0.1268
674.0,0.126
675.0,0.1246
676.0,0.1251
677.0,0.1235
678.0,0.1235
679.0,0.1213
680.0,0.122
681.0,0.121
682.0,0.1206
683.0,0.1202
684.0,0.1194
685.0,0.1202
686.0,0.1194
687.0,0.08939
688.0,0.09955
689.0,0.09962
690.0,0.1027
691.0,0.1063
692.0,0.109
693.0,0.1089
694.0,0.1089
695.0,0.1118
696.0,0.1122
697.0,0.1162
698.0,0.1145
699.0,0.1137
700.0,0.1124
701.0,0.1119
702.0,0.1122
703.0,0.1125
704.0,0.1151
705.0,0.1156
706.0,0.1152
707.0,0.1154
708.0,0.1159
709.0,0.1156
710.0,0.1161
711.0,0.1159
712.0,0.1155
713.0,0.1147
714.0,0.1154
715.0,0.1126
716.0,0.1131
717.0,0.1041
718.0,0.09852
719.0,0.09156
720.0,0.09601
721.0,0.1017
722.0,0.1115
723.0,0.1067
724.0,0.09938
725.0,0.09891
726.0,0.1022
727.0,0.103
728.0,0.09891
729.0,0.1002
730.0,0.1055
731.0,0.1017
732.0,0.1067
733.0,0.1107
734.0,0.1128
735.0,0.1108
736.0,0.1107
737.0,0.1112
738.0,0.1117
739.0,0.1096
740.0,0.112
741.0,0.1105
742.0,0.1103
743.0,0.1129
744.0,0.1123
745.0,0.1121
746.0,0.1125
747.0,0.1126
748.0,0.1122
749.0,0.1108
750.0,0.1106
751.0,0.1093
752.0,0.1096
753.0,0.11
754.0,0.1101
755.0,0.1093
756.0,0.1091
757.0,0.1091
758.0,0.1075
759.0,0.1057
760.0,0.02741
761.0,0.01692
762.0,0.06305
763.0,0.03741
764.0,0.05074
765.0,0.06265
766.0,0.0722
767.0,0.08659
768.0,0.09642
769.0,0.0975
770.0,0.0998
771.0,0.1
772.0,0.09992
773.0,0.1004
774.0,0.09963
775.0,0.09862
776.0,0.09957
777.0,0.09803
778.0,0.09722
779.0,0.09709
780.0,0.09632
781.0,0.09622
782.0,0.09662
783.0,0.09474
784.0,0.09499
785.0,0.09416
786.0,0.09505
787.0,0.09375
788.0,0.09266
789.0,0.09262
790.0,0.09073
791.0,0.09056
792.0,0.08959
793.0,0.08803
794.0,0.08844
795.0,0.08996
796.0,0.08808
797.0,0.08804
798.0,0.08942
799.0,0.08887
800.0,0.08744
801.0,0.08715
802.0,0.0867
803.0,0.08598
804.0,0.0858
805.0,0.08504
806.0,0.08679
807.0,0.08566
808.0,0.08546
809.0,0.08402
810.0,0.08357
811.0,0.0838
812.0,0.08189
813.0,0.08054
814.0,0.07329
815.0,0.07285
816.0,0.06905
817.0,0.06957
818.0,0.06744
819.0,0.0725
820.0,0.06917
821.0,0.07706
822.0,0.07545
823.0,0.05718
824.0,0.07419
825.0,0.07548
826.0,0.0735
827.0,0.07627
828.0,0.0678
829.0,0.07253
830.0,0.07182
831.0,0.07175
832.0,0.0701
833.0,0.07228
834.0,0.07044
835.0,0.07534
836.0,0.07303
837.0,0.07516
838.0,0.07317
839.0,0.07363
840.0,0.07496
841.0,0.07396
842.0,0.07362
843.0,0.07309
844.0,0.07214
845.0,0.07413
846.0,0.0736
847.0,0.07197
848.0,0.07151
849.0,0.06934
850.0,0.06626
851.0,0.07015
852.0,0.06945
853.0,0.06657
854.0,0.05748
855.0,0.06287
856.0,0.06865
857.0,0.06993
858.0,0.06933
859.0,0.0692
860.0,0.06915
861.0,0.06866
862.0,0.06958
863.0,0.07108
864.0,0.0674
865.0,0.06667
866.0,0.05983
867.0,0.06231
868.0,0.06767
869.0,0.06613
870.0,0.06788
871.0,0.06682
872.0,0.06645
873.0,0.06618
874.0,0.06526
875.0,0.06382
876.0,0.06436
877.0,0.06487
878.0,0.06547
879.0,0.06433
880.0,0.06282
881.0,0.06182
882.0,0.06304
883.0,0.06306
884.0,0.06266
885.0,0.063
886.0,0.06015
887.0,0.06049
888.0,0.06142
889.0,0.06173
890.0,0.06136
891.0,0.06103
892.0,0.05942
893.0,0.05787
894.0,0.0564
895.0,0.0542
896.0,0.05226
897.0,0.04667
898.0,0.04952
899.0,0.03966
900.0,0.04952
901.0,0.04147
902.0,0.04582
903.0,0.04677
904.0,0.05532
905.0,0.05374
906.0,0.0507
907.0,0.04373
908.0,0.0442
909.0,0.04639
910.0,0.04289
911.0,0.04422
912.0,0.04593
913.0,0.04322
914.0,0.04281
915.0,0.0454
916.0,0.03974
917.0,0.04719
918.0,0.04054
919.0,0.0476
920.0,0.0475
921.0,0.04845
922.0,0.04466
923.0,0.04665
924.0,0.04545
925.0,0.04463
926.0,0.0448
927.0,0.04877
928.0,0.03948
929.0,0.03656
930.0,0.03184
931.0,0.02913
932.0,0.023
933.0,0.02009
934.0,0.01421
935.0,0.02
936.0,0.01413
937.0,0.01501
938.0,0.01756
939.0,0.02834
940.0,0.03245
941.0,0.02638
942.0,0.02915
943.0,0.0214
944.0,0.02109
945.0,0.02658
946.0,0.01594
947.0,0.02693
948.0,0.02065
949.0,0.0347
950.0,0.01361
951.0,0.03344
952.0,0.02087
953.0,0.02449
954.0,0.02777
955.0,0.02515
956.0,0.02289
957.0,0.02066
958.0,0.02928
959.0,0.0257
960.0,0.02815
961.0,0.03
962.0,0.02888
963.0,0.03189
964.0,0.02952
965.0,0.03116
966.0,0.03167
967.0,0.03187
968.0,0.0382
969.0,0.03962
970.0,0.03733
971.0,0.04089
972.0,0.03936
973.0,0.03593
974.0,0.03415
975.0,0.03495
976.0,0.034
977.0,0.03689
978.0,0.03558
979.0,0.03677
980.0,0.03495
981.0,0.03963
982.0,0.03827
