Wvlgth,Direct_normal_irradiance
280.0,6.29e-20
280.5,1.116e-18
281.0,5.101e-18
281.5,8.945e-17
282.0,5.193e-16
282.5,1.606e-15
283.0,5.586e-15
283.5,9.325e-15
284.0,1.278e-13
284.5,3.42e-13
285.0,5.975e-13
285.5,3.235e-12
286.0,1.331e-11
286.5,5.694e-11
287.0,1.552e-10
287.5,5.328e-10
288.0,1.676e-09
288.5,5.555e-09
289.0,1.529e-08
289.5,4.593e-08
290.0,1.245e-07
290.5,2.489e-07
291.0,5.108e-07
291.5,1.345e-06
292.0,2.853e-06
292.5,3.906e-06
293.0,7.952e-06
293.5,1.774e-05
294.0,2.662e-05
294.5,4.303e-05
295.0,6.77e-05
295.5,0.0001424
296.0,0.0002344
296.5,0.0002799
297.0,0.0003328
297.5,0.0007366
298.0,0.0009919
298.5,0.000885
299.0,0.001736
299.5,0.002342
300.0,0.002358
300.5,0.003051
301.0,0.004619
301.5,0.006314
302.0,0.005032
302.5,0.008996
303.0,0.01442
303.5,0.01697
304.0,0.01531
304.5,0.02033
305.0,0.02621
305.5,0.02724
306.0,0.02549
306.5,0.02992
307.0,0.03873
307.5,0.04541
308.0,0.04723
308.5,0.05261
309.0,0.04601
309.5,0.04889
310.0,0.04754
310.5,0.07597
311.0,0.09273
311.5,0.08861
312.0,0.08294
312.5,0.0967
313.0,0.1028
313.5,0.1025
314.0,0.1214
314.5,0.1001
315.0,0.1303
315.5,0.1135
316.0,0.09346
316.5,0.1276
317.0,0.1591
317.5,0.1686
318.0,0.1271
318.5,0.1475
319.0,0.1695
319.5,0.1467
320.0,0.1792
320.5,0.2092
321.0,0.1752
321.5,0.1674
322.0,0.1917
322.5,0.1665
323.0,0.1589
323.5,0.1813
324.0,0.2105
324.5,0.2191
325.0,0.2005
325.5,0.2491
326.0,0.2913
326.5,0.2845
327.0,0.2872
327.5,0.2818
328.0,0.2612
328.5,0.2628
329.0,0.3048
329.5,0.3433
330.0,0.35
330.5,0.2883
331.0,0.2971
331.5,0.2966
332.0,0.3123
332.5,0.3058
333.0,0.3079
333.5,0.2852
334.0,0.2937
334.5,0.3317
335.0,0.3083
335.5,0.3498
336.0,0.2424
336.5,0.2956
337.0,0.2454
337.5,0.3069
338.0,0.2946
338.5,0.332
339.0,0.3308
339.5,0.3177
340.0,0.3833
340.5,0.3456
341.0,0.3312
341.5,0.3071
342.0,0.3682
342.5,0.3458
343.0,0.3797
343.5,0.3572
344.0,0.2686
344.5,0.2656
345.0,0.3556
345.5,0.3647
346.0,0.311
346.5,0.3531
347.0,0.3787
347.5,0.3063
348.0,0.3511
348.5,0.3523
349.0,0.3275
349.5,0.3246
350.0,0.4022
350.5,0.4249
351.0,0.3797
351.5,0.3681
352.0,0.3972
352.5,0.311
353.0,0.3926
353.5,0.4205
354.0,0.4373
354.5,0.4445
355.0,0.4438
355.5,0.4018
356.0,0.4213
356.5,0.3605
357.0,0.2985
357.5,0.3662
358.0,0.2909
358.5,0.2491
359.0,0.3491
359.5,0.4456
360.0,0.4733
360.5,0.379
361.0,0.346
361.5,0.3986
362.0,0.3448
362.5,0.4774
363.0,0.429
363.5,0.3955
364.0,0.4841
364.5,0.4144
365.0,0.4226
365.5,0.531
366.0,0.5633
366.5,0.5297
367.0,0.5165
367.5,0.5366
368.0,0.4701
368.5,0.475
369.0,0.5137
369.5,0.5485
370.0,0.5857
370.5,0.4552
371.0,0.487
371.5,0.6102
372.0,0.4056
372.5,0.487
373.0,0.4959
373.5,0.323
374.0,0.47
374.5,0.3897
375.0,0.3794
