Wvlgth,Difuse_horizn_irradiance
280.0,1.03e-18
280.5,1.431e-17
281.0,5.799e-17
281.5,7.984e-16
282.0,3.926e-15
282.5,1.071e-14
283.0,3.249e-14
283.5,4.953e-14
284.0,5.267e-13
284.5,1.931e-12
285.0,3.406e-12
285.5,1.949e-11
286.0,8.07e-11
286.5,3.836e-10
287.0,1.173e-09
287.5,5.382e-09
288.0,7.342e-09
288.5,2.317e-08
289.0,6.094e-08
289.5,1.765e-07
290.0,4.598e-07
290.5,8.805e-07
291.0,1.752e-06
291.5,4.09e-06
292.0,7.939e-06
292.5,9.833e-06
293.0,1.801e-05
293.5,3.601e-05
294.0,4.74e-05
294.5,8.646e-05
295.0,0.0001378
295.5,0.0001938
296.0,0.0003231
296.5,0.0003918
297.0,0.0004717
297.5,0.00107
298.0,0.001471
298.5,0.001334
299.0,0.002661
299.5,0.003716
300.0,0.003812
300.5,0.005019
301.0,0.007852
301.5,0.01094
302.0,0.008496
302.5,0.01462
303.0,0.0224
303.5,0.02596
304.0,0.02314
304.5,0.03025
305.0,0.03837
305.5,0.03938
306.0,0.03651
306.5,0.04241
307.0,0.05426
307.5,0.06293
308.0,0.06495
308.5,0.08031
309.0,0.06886
309.5,0.07021
310.0,0.0668
310.5,0.1052
311.0,0.1262
311.5,0.1192
312.0,0.1085
312.5,0.1241
313.0,0.1302
313.5,0.1296
314.0,0.1504
314.5,0.1213
315.0,0.1564
315.5,0.1362
316.0,0.1102
316.5,0.1481
317.0,0.1834
317.5,0.1934
318.0,0.1441
318.5,0.1658
319.0,0.19
319.5,0.1623
320.0,0.1968
320.5,0.23
321.0,0.1927
321.5,0.1831
322.0,0.2067
322.5,0.1784
323.0,0.17
323.5,0.202
324.0,0.2334
324.5,0.2403
325.0,0.2092
325.5,0.269
326.0,0.315
326.5,0.3073
327.0,0.3078
327.5,0.2994
328.0,0.2737
328.5,0.2761
329.0,0.3202
329.5,0.3591
330.0,0.3634
330.5,0.296
331.0,0.3026
331.5,0.3015
332.0,0.3173
332.5,0.3096
333.0,0.3094
333.5,0.2836
334.0,0.2901
334.5,0.3273
335.0,0.3033
335.5,0.3698
336.0,0.2551
336.5,0.2854
337.0,0.2351
337.5,0.2921
338.0,0.2798
338.5,0.3342
339.0,0.3269
339.5,0.3153
340.0,0.3559
340.5,0.3192
341.0,0.3209
341.5,0.2897
342.0,0.3438
342.5,0.3197
343.0,0.3532
343.5,0.3332
344.0,0.2625
344.5,0.2498
345.0,0.3238
345.5,0.3275
346.0,0.2764
346.5,0.3111
347.0,0.3346
347.5,0.2702
348.0,0.3047
348.5,0.3024
349.0,0.2791
349.5,0.2757
350.0,0.3395
350.5,0.3568
351.0,0.3185
351.5,0.3115
352.0,0.3315
352.5,0.2567
353.0,0.3214
353.5,0.3417
354.0,0.3528
354.5,0.3569
355.0,0.3551
355.5,0.3197
356.0,0.3335
356.5,0.2839
357.0,0.2339
357.5,0.2855
358.0,0.2255
358.5,0.1921
359.0,0.2681
359.5,0.3414
360.0,0.3606
360.5,0.2871
361.0,0.2606
361.5,0.2988
362.0,0.2573
362.5,0.3547
363.0,0.3173
363.5,0.2913
364.0,0.355
364.5,0.3024
365.0,0.307
365.5,0.3841
366.0,0.4056
366.5,0.3797
367.0,0.3685
367.5,0.3811
368.0,0.3323
368.5,0.3345
369.0,0.3602
369.5,0.3829
370.0,0.4071
370.5,0.315
371.0,0.3357
371.5,0.4187
372.0,0.2771
372.5,0.3312
373.0,0.3359
373.5,0.218
374.0,0.3158
374.5,0.2608
375.0,0.2527
375.5,0.3763
376.0,0.311
376.5,0.3214
377.0,0.3394
377.5,0.396
378.0,0.4282
378.5,0.4037
379.0,0.3324
379.5,0.3028
380.0,0.314
380.5,0.3792
381.0,0.3789
381.5,0.2994
382.0,0.2651
382.5,0.2253
383.0,0.208
383.5,0.1997
384.0,0.2196
384.5,0.3221
385.0,0.3186
385.5,0.2959
386.0,0.2528
386.5,0.3312
387.0,0.2745
387.5,0.3076
388.0,0.2832
388.5,0.2793
389.0,0.3007
389.5,0.3632
390.0,0.3636
390.5,0.3337
391.0,0.3918
391.5,0.3986
392.0,0.3349
392.5,0.299
393.0,0.166
393.5,0.1203
394.0,0.2442
394.5,0.3096
395.0,0.3768
395.5,0.3818
396.0,0.3302
396.5,0.1925
397.0,0.1441
397.5,0.2923
398.0,0.4083
398.5,0.4209
399.0,0.4546
399.5,0.4519
400.0,0.4681
401.0,0.4837
402.0,0.5078
403.0,0.48
404.0,0.4702
405.0,0.4677
406.0,0.4579
407.0,0.4483
408.0,0.4635
409.0,0.4936
410.0,0.4291
411.0,0.4625
412.0,0.4942
413.0,0.4796
414.0,0.4833
415.0,0.4821
416.0,0.4883
417.0,0.4741
418.0,0.4632
419.0,0.4671
420.0,0.4629
421.0,0.4821
422.0,0.4561
423.0,0.4435
424.0,0.4671
425.0,0.4642
426.0,0.45
427.0,0.4396
428.0,0.4263
429.0,0.4019
430.0,0.3501
431.0,0.3456
432.0,0.4443
433.0,0.4448
434.0,0.4113
435.0,0.4277
436.0,0.4798
437.0,0.4712
438.0,0.4272
439.0,0.44
440.0,0.4521
441.0,0.4667
442.0,0.4985
443.0,0.4839
444.0,0.4921
445.0,0.4796
446.0,0.4557
447.0,0.4903
448.0,0.4961
449.0,0.4959
450.0,0.5077
451.0,0.5244
452.0,0.5032
453.0,0.4714
454.0,0.4901
455.0,0.4912
456.0,0.501
457.0,0.5074
458.0,0.4884
459.0,0.484
460.0,0.4836
461.0,0.4929
462.0,0.4947
463.0,0.4894
464.0,0.4792
465.0,0.4712
466.0,0.474
467.0,0.4637
468.0,0.4676
469.0,0.4686
470.0,0.4522
471.0,0.45
472.0,0.4725
473.0,0.465
474.0,0.4643
475.0,0.4671
476.0,0.4523
477.0,0.4525
478.0,0.4633
479.0,0.4584
480.0,0.4572
481.0,0.4637
482.0,0.4642
483.0,0.4567
484.0,0.4457
485.0,0.423
486.0,0.3684
487.0,0.3847
488.0,0.4206
489.0,0.4207
490.0,0.441
491.0,0.432
492.0,0.4068
493.0,0.4188
494.0,0.4216
495.0,0.4238
496.0,0.425
497.0,0.4305
498.0,0.4093
499.0,0.4135
500.0,0.4013
501.0,0.3929
502.0,0.3865
503.0,0.4016
504.0,0.3921
505.0,0.4031
506.0,0.4151
507.0,0.3941
508.0,0.3803
509.0,0.3895
510.0,0.3859
511.0,0.3948
512.0,0.3979
513.0,0.3759
514.0,0.3723
515.0,0.3676
516.0,0.366
517.0,0.3243
518.0,0.3401
519.0,0.3558
520.0,0.3678
521.0,0.3703
522.0,0.3697
523.0,0.3623
524.0,0.3746
525.0,0.3782
526.0,0.3603
527.0,0.3388
528.0,0.3574
529.0,0.3756
530.0,0.3692
531.0,0.3737
532.0,0.3599
533.0,0.3483
534.0,0.3574
535.0,0.3637
536.0,0.3656
537.0,0.35
538.0,0.3551
539.0,0.3511
540.0,0.3356
541.0,0.3373
542.0,0.3469
543.0,0.3418
544.0,0.347
545.0,0.3445
546.0,0.345
547.0,0.343
548.0,0.3375
549.0,0.3375
550.0,0.3406
551.0,0.3354
552.0,0.3365
553.0,0.3294
554.0,0.336
555.0,0.3354
556.0,0.3299
557.0,0.3186
558.0,0.3151
559.0,0.3082
560.0,0.3111
561.0,0.3143
562.0,0.3112
563.0,0.3188
564.0,0.3092
565.0,0.3055
566.0,0.3
567.0,0.3048
568.0,0.3016
569.0,0.2948
570.0,0.2934
571.0,0.2901
572.0,0.2969
573.0,0.2992
574.0,0.2974
575.0,0.2911
576.0,0.2874
577.0,0.2894
578.0,0.2837
579.0,0.2833
580.0,0.2867
581.0,0.2865
582.0,0.2905
583.0,0.2899
584.0,0.2912
585.0,0.2829
586.0,0.276
587.0,0.2813
588.0,0.2751
589.0,0.2462
590.0,0.2564
591.0,0.2684
592.0,0.2658
593.0,0.2673
594.0,0.2655
595.0,0.2593
596.0,0.266
597.0,0.2628
598.0,0.261
599.0,0.2603
600.0,0.2593
601.0,0.2558
602.0,0.253
603.0,0.2559
604.0,0.259
605.0,0.2567
606.0,0.2551
607.0,0.257
608.0,0.2535
609.0,0.2532
610.0,0.2503
611.0,0.2509
612.0,0.2492
613.0,0.2452
614.0,0.2411
615.0,0.2456
616.0,0.2367
617.0,0.2355
618.0,0.2437
619.0,0.2404
620.0,0.241
621.0,0.2401
622.0,0.2345
623.0,0.2283
624.0,0.2248
625.0,0.2255
626.0,0.2288
627.0,0.2314
628.0,0.22
629.0,0.2265
630.0,0.2209
631.0,0.2243
632.0,0.2215
633.0,0.2275
634.0,0.2242
635.0,0.2269
636.0,0.2227
637.0,0.2253
638.0,0.2264
639.0,0.2232
640.0,0.2204
641.0,0.2196
642.0,0.2178
643.0,0.2202
644.0,0.2186
645.0,0.2187
646.0,0.2139
647.0,0.2125
648.0,0.2128
649.0,0.208
650.0,0.2064
651.0,0.2143
652.0,0.2076
653.0,0.2103
654.0,0.2071
655.0,0.2
656.0,0.1759
657.0,0.18
658.0,0.2002
659.0,0.2002
660.0,0.199
661.0,0.1973
662.0,0.1953
663.0,0.1921
664.0,0.1956
665.0,0.1961
666.0,0.1968
667.0,0.1967
668.0,0.1965
669.0,0.1992
670.0,0.1979
671.0,0.1974
672.0,0.1952
673.0,0.1977
674.0,0.1964
675.0,0.1942
676.0,0.195
677.0,0.1925
678.0,0.1925
679.0,0.189
680.0,0.1901
681.0,0.1886
682.0,0.188
683.0,0.1874
684.0,0.1861
685.0,0.1874
686.0,0.186
687.0,0.1395
688.0,0.1553
689.0,0.1554
690.0,0.1602
691.0,0.1658
692.0,0.1698
693.0,0.1698
694.0,0.1697
695.0,0.1742
696.0,0.1748
697.0,0.181
698.0,0.1784
699.0,0.1771
700.0,0.1751
701.0,0.1742
702.0,0.1748
703.0,0.1752
704.0,0.1792
705.0,0.18
706.0,0.1794
707.0,0.1797
708.0,0.1804
709.0,0.18
710.0,0.1807
711.0,0.1804
712.0,0.1797
713.0,0.1786
714.0,0.1796
715.0,0.1753
716.0,0.1762
717.0,0.1623
718.0,0.1538
719.0,0.143
720.0,0.1499
721.0,0.1586
722.0,0.1737
723.0,0.1664
724.0,0.1551
725.0,0.1544
726.0,0.1595
727.0,0.1608
728.0,0.1545
729.0,0.1563
730.0,0.1646
731.0,0.1588
732.0,0.1665
733.0,0.1726
734.0,0.1758
735.0,0.1727
736.0,0.1726
737.0,0.1734
738.0,0.1741
739.0,0.1709
740.0,0.1746
