Wvlgth,Direct_normal_irradiance
280.0,3.486e-18
280.5,4.81e-17
281.0,1.996e-16
281.5,2.743e-15
282.0,1.369e-14
282.5,3.825e-14
283.0,1.19e-13
283.5,1.879e-13
284.0,2e-12
284.5,4.753e-12
285.0,7.319e-12
285.5,3.417e-11
286.0,1.323e-10
286.5,5.001e-10
287.0,1.244e-09
287.5,3.792e-09
288.0,1.026e-08
288.5,3.138e-08
289.0,7.954e-08
289.5,2.181e-07
290.0,5.489e-07
290.5,1.031e-06
291.0,1.963e-06
291.5,4.704e-06
292.0,9.235e-06
292.5,1.21e-05
293.0,2.33e-05
293.5,4.818e-05
294.0,6.862e-05
294.5,0.0001067
295.0,0.0001599
295.5,0.0003167
296.0,0.0004998
296.5,0.0005739
297.0,0.0006614
297.5,0.001401
298.0,0.001822
298.5,0.001583
299.0,0.003031
299.5,0.003933
300.0,0.003874
300.5,0.004913
301.0,0.007228
301.5,0.009653
302.0,0.007603
302.5,0.01332
303.0,0.02084
303.5,0.02419
304.0,0.02167
304.5,0.02831
305.0,0.03575
305.5,0.03667
306.0,0.03414
306.5,0.03975
307.0,0.05066
307.5,0.05854
308.0,0.06071
308.5,0.06715
309.0,0.05841
309.5,0.06117
310.0,0.05907
310.5,0.09404
311.0,0.1142
311.5,0.1088
312.0,0.1008
312.5,0.1167
313.0,0.1235
313.5,0.1235
314.0,0.1451
314.5,0.1185
315.0,0.1539
315.5,0.1346
316.0,0.1099
316.5,0.1491
317.0,0.1859
317.5,0.1972
318.0,0.1481
318.5,0.1705
319.0,0.1952
319.5,0.1697
320.0,0.2074
320.5,0.2404
321.0,0.2001
321.5,0.1909
322.0,0.2198
322.5,0.1908
323.0,0.1812
323.5,0.2055
324.0,0.2382
324.5,0.2483
325.0,0.228
325.5,0.2824
326.0,0.3288
326.5,0.3202
327.0,0.3234
327.5,0.3174
328.0,0.2951
328.5,0.2956
329.0,0.3416
329.5,0.3843
330.0,0.3919
330.5,0.3233
331.0,0.3332
331.5,0.332
332.0,0.3486
332.5,0.341
333.0,0.3433
333.5,0.3183
334.0,0.3277
334.5,0.3693
335.0,0.3428
335.5,0.3886
336.0,0.2692
336.5,0.3284
337.0,0.2727
337.5,0.3409
338.0,0.3267
338.5,0.3679
339.0,0.3664
339.5,0.3517
340.0,0.4244
340.5,0.3824
341.0,0.3661
341.5,0.3392
342.0,0.4066
342.5,0.3817
343.0,0.4189
343.5,0.394
344.0,0.2963
344.5,0.2928
345.0,0.3917
345.5,0.4015
346.0,0.3423
346.5,0.3884
347.0,0.4164
347.5,0.3367
348.0,0.3858
348.5,0.3869
349.0,0.3596
349.5,0.3562
350.0,0.4412
350.5,0.466
351.0,0.4163
351.5,0.4034
352.0,0.4351
352.5,0.3405
353.0,0.4297
353.5,0.4602
354.0,0.4784
354.5,0.4862
355.0,0.4853
355.5,0.4391
356.0,0.4603
356.5,0.3937
357.0,0.3259
357.5,0.3997
358.0,0.3174
358.5,0.2717
359.0,0.3807
359.5,0.4857
360.0,0.5158
360.5,0.4129
361.0,0.3768
361.5,0.4339
362.0,0.3752
362.5,0.5193
363.0,0.4665
363.5,0.4299
364.0,0.5261
364.5,0.4501
365.0,0.4589
365.5,0.5766
366.0,0.6113
366.5,0.5748
367.0,0.5603
367.5,0.582
368.0,0.5096
368.5,0.5148
369.0,0.5566
369.5,0.5941
370.0,0.6342
370.5,0.4927
371.0,0.527
371.5,0.6602
372.0,0.4387
372.5,0.5266
373.0,0.5361
373.5,0.3491
374.0,0.5078
374.5,0.4209
375.0,0.4096
375.5,0.6124
376.0,0.5083
376.5,0.5274
377.0,0.559
377.5,0.6547
378.0,0.7108
378.5,0.6728
379.0,0.5562
379.5,0.5089
380.0,0.5298
380.5,0.6421
381.0,0.6438
381.5,0.5106
382.0,0.4537
382.5,0.3869
383.0,0.3584
383.5,0.3454
384.0,0.3813
384.5,0.5614
385.0,0.5572
385.5,0.5194
386.0,0.4453
386.5,0.5853
387.0,0.487
387.5,0.5476
388.0,0.5061
388.5,0.5007
389.0,0.541
389.5,0.6559
390.0,0.6588
390.5,0.6069
391.0,0.715
391.5,0.7301
392.0,0.6155
392.5,0.5515
393.0,0.3071
393.5,0.2234
394.0,0.455
394.5,0.5789
395.0,0.707
395.5,0.719
396.0,0.6239
396.5,0.3649
397.0,0.2741
397.5,0.5579
398.0,0.7823
398.5,0.8092
399.0,0.8765
399.5,0.8744
400.0,0.9091
401.0,0.9348
402.0,0.9875
403.0,0.9392
404.0,0.9261
405.0,0.9274
406.0,0.9134
407.0,0.8997
408.0,0.9365
409.0,1.004
410.0,0.8779
411.0,0.952
412.0,1.023
413.0,0.9996
414.0,1.013
415.0,1.017
416.0,1.035
417.0,1.011
418.0,0.9942
419.0,1.008
420.0,1.005
421.0,1.053
422.0,1.002
423.0,0.9801
424.0,1.038
425.0,1.038
426.0,1.011
427.0,0.9933
428.0,0.969
429.0,0.9182
430.0,0.8042
431.0,0.7987
432.0,1.032
433.0,1.039
434.0,0.9658
435.0,1.01
436.0,1.139
437.0,1.124
438.0,1.024
439.0,1.062
440.0,1.096
441.0,1.136
442.0,1.22
443.0,1.191
444.0,1.218
445.0,1.193
446.0,1.139
447.0,1.231
448.0,1.253
449.0,1.258
450.0,1.294
451.0,1.343
452.0,1.295
453.0,1.219
454.0,1.273
455.0,1.283
456.0,1.314
457.0,1.338
458.0,1.295
459.0,1.289
460.0,1.294
461.0,1.325
462.0,1.336
463.0,1.328
464.0,1.306
465.0,1.29
466.0,1.303
467.0,1.281
468.0,1.298
469.0,1.306
470.0,1.267
471.0,1.266
472.0,1.336
473.0,1.321
474.0,1.326
475.0,1.34
476.0,1.304
477.0,1.311
478.0,1.348
479.0,1.339
480.0,1.341
481.0,1.365
482.0,1.371
483.0,1.354
484.0,1.327
485.0,1.265
486.0,1.106
487.0,1.159
488.0,1.273
489.0,1.279
490.0,1.345
491.0,1.323
492.0,1.25
493.0,1.292
494.0,1.306
495.0,1.318
496.0,1.327
497.0,1.349
498.0,1.287
499.0,1.306
500.0,1.27
501.0,1.249
502.0,1.235
503.0,1.289
504.0,1.267
505.0,1.305
506.0,1.35
507.0,1.286
508.0,1.245
509.0,1.279
510.0,1.272
511.0,1.306
512.0,1.32
513.0,1.251
514.0,1.243
515.0,1.232
516.0,1.23
517.0,1.094
518.0,1.151
519.0,1.209
520.0,1.254
521.0,1.267
522.0,1.27
523.0,1.249
524.0,1.296
525.0,1.315
526.0,1.257
527.0,1.187
528.0,1.257
529.0,1.327
530.0,1.31
531.0,1.331
532.0,1.287
533.0,1.25
534.0,1.288
535.0,1.316
536.0,1.328
537.0,1.276
538.0,1.3
539.0,1.291
540.0,1.239
541.0,1.251
542.0,1.292
543.0,1.278
544.0,1.303
545.0,1.299
546.0,1.308
547.0,1.305
548.0,1.29
549.0,1.294
550.0,1.311
551.0,1.296
552.0,1.306
553.0,1.284
554.0,1.316
555.0,1.32
556.0,1.304
557.0,1.265
558.0,1.257
559.0,1.235
560.0,1.253
561.0,1.271
562.0,1.264
563.0,1.302
564.0,1.268
565.0,1.26
566.0,1.243
567.0,1.269
568.0,1.264
569.0,1.244
570.0,1.243
571.0,1.234
572.0,1.271
573.0,1.286
574.0,1.284
575.0,1.263
576.0,1.253
577.0,1.267
578.0,1.246
579.0,1.248
580.0,1.266
581.0,1.269
582.0,1.291
583.0,1.292
584.0,1.302
585.0,1.27
586.0,1.244
587.0,1.274
588.0,1.256
589.0,1.137
590.0,1.188
591.0,1.243
592.0,1.238
593.0,1.246
594.0,1.244
595.0,1.221
596.0,1.25
597.0,1.241
598.0,1.234
599.0,1.234
600.0,1.231
601.0,1.218
602.0,1.209
603.0,1.228
604.0,1.248
605.0,1.242
606.0,1.237
607.0,1.25
608.0,1.236
609.0,1.239
610.0,1.229
611.0,1.236
612.0,1.232
613.0,1.216
614.0,1.199
615.0,1.226
616.0,1.185
617.0,1.183
618.0,1.229
619.0,1.216
620.0,1.224
621.0,1.226
622.0,1.207
623.0,1.184
624.0,1.167
625.0,1.171
626.0,1.191
627.0,1.21
628.0,1.175
629.0,1.199
630.0,1.174
631.0,1.188
632.0,1.174
