Wvlgth,Global_horizn_irradiance
280.0,4.332e-18
280.5,5.986e-17
281.0,2.47e-16
281.5,3.396e-15
282.0,1.689e-14
282.5,4.693e-14
283.0,1.452e-13
283.5,2.275e-13
284.0,2.421e-12
284.5,6.432e-12
285.0,1.034e-11
285.5,5.185e-11
286.0,2.06e-10
286.5,8.572e-10
287.0,2.351e-09
287.5,8.973e-09
288.0,1.706e-08
288.5,5.289e-08
289.0,1.363e-07
289.5,3.831e-07
290.0,9.797e-07
290.5,1.857e-06
291.0,3.611e-06
291.5,8.545e-06
292.0,1.669e-05
292.5,2.129e-05
293.0,4.007e-05
293.5,8.164e-05
294.0,0.0001124
294.5,0.0001875
295.0,0.0002892
295.5,0.0004937
296.0,0.0007964
296.5,0.0009353
297.0,0.001098
297.5,0.002397
298.0,0.003197
298.5,0.002834
299.0,0.005531
299.5,0.007441
300.0,0.007481
300.5,0.009672
301.0,0.0147
301.5,0.02008
302.0,0.0157
302.5,0.02724
303.0,0.04213
303.5,0.04887
304.0,0.04366
304.5,0.05706
305.0,0.07222
305.5,0.07411
306.0,0.06885
306.5,0.08005
307.0,0.1022
307.5,0.1184
308.0,0.1224
308.5,0.1439
309.0,0.1242
309.5,0.1281
310.0,0.1227
310.5,0.1943
311.0,0.2343
311.5,0.2222
312.0,0.2039
312.5,0.2346
313.0,0.2472
313.5,0.2465
314.0,0.2877
314.5,0.2335
315.0,0.3022
315.5,0.2637
316.0,0.2143
316.5,0.2894
317.0,0.3594
317.5,0.3802
318.0,0.2843
318.5,0.3273
319.0,0.3748
319.5,0.323
320.0,0.3932
320.5,0.4576
321.0,0.3822
321.5,0.3639
322.0,0.4149
322.5,0.3591
323.0,0.3416
323.5,0.3966
324.0,0.459
324.5,0.4755
325.0,0.4251
325.5,0.5364
326.0,0.6264
326.5,0.6106
327.0,0.6141
327.5,0.6
328.0,0.5531
328.5,0.556
329.0,0.6437
329.5,0.723
330.0,0.7345
330.5,0.6021
331.0,0.6182
331.5,0.6159
332.0,0.6475
332.5,0.6325
333.0,0.6345
333.5,0.5851
334.0,0.6005
334.5,0.6771
335.0,0.628
335.5,0.7378
336.0,0.51
336.5,0.5964
337.0,0.4933
337.5,0.6149
338.0,0.5893
338.5,0.6826
339.0,0.6739
339.5,0.6484
340.0,0.7579
340.5,0.6814
341.0,0.6676
341.5,0.6109
342.0,0.7289
342.5,0.6812
343.0,0.7499
343.5,0.7063
344.0,0.5431
344.5,0.5271
345.0,0.6948
345.5,0.7078
346.0,0.6005
346.5,0.6789
347.0,0.7289
347.5,0.5891
348.0,0.6701
348.5,0.6688
349.0,0.6196
349.5,0.613
350.0,0.7573
350.5,0.7981
351.0,0.7128
351.5,0.6936
352.0,0.7435
352.5,0.5792
353.0,0.7284
353.5,0.7775
354.0,0.8059
354.5,0.8173
355.0,0.8147
355.5,0.7356
356.0,0.7693
356.5,0.6567
357.0,0.5426
357.5,0.664
358.0,0.526
358.5,0.4494
359.0,0.6286
359.5,0.8014
