Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance
.2800E+03 .7851E-01 .4870E-17 .8234E-18 .5435E-17
.2805E+03 .1024E+00 .6715E-16 .1143E-16 .7502E-16
.2810E+03 .1717E+00 .2784E-15 .4631E-16 .3100E-15
.2815E+03 .2412E+00 .3825E-14 .6374E-15 .4260E-14
.2820E+03 .2918E+00 .1908E-13 .3133E-14 .2120E-13
.2825E+03 .3144E+00 .5328E-13 .8544E-14 .5900E-13
.2830E+03 .3431E+00 .1656E-12 .2593E-13 .1828E-12
.2835E+03 .3225E+00 .2614E-12 .3954E-13 .2871E-12
.2840E+03 .3213E+00 .2780E-11 .4203E-12 .3054E-11
.2845E+03 .2516E+00 .6605E-11 .1533E-11 .7788E-11
.2850E+03 .1186E+00 .1016E-10 .2700E-11 .1233E-10
.2855E+03 .1378E+00 .4742E-10 .1542E-10 .6034E-10
.2860E+03 .3008E+00 .1835E-09 .6378E-10 .2376E-09
.2865E+03 .3583E+00 .6934E-09 .3026E-09 .9593E-09
.2870E+03 .3780E+00 .1724E-08 .9238E-09 .2557E-08
.2875E+03 .3784E+00 .5252E-08 .4231E-08 .9205E-08
.2880E+03 .2506E+00 .1421E-07 .5783E-08 .1924E-07
.2885E+03 .3590E+00 .4341E-07 .1824E-07 .5935E-07
.2890E+03 .4204E+00 .1100E-06 .4792E-07 .1521E-06
.2895E+03 .4914E+00 .3015E-06 .1387E-06 .4242E-06
.2900E+03 .6181E+00 .7582E-06 .3610E-06 .1079E-05
.2905E+03 .6463E+00 .1424E-05 .6907E-06 .2039E-05
.2910E+03 .6101E+00 .2709E-05 .1373E-05 .3939E-05
.2915E+03 .6024E+00 .6487E-05 .3203E-05 .9347E-05
.2920E+03 .5732E+00 .1273E-04 .6215E-05 .1827E-04
.2925E+03 .4968E+00 .1667E-04 .7695E-05 .2348E-04
.2930E+03 .5676E+00 .3208E-04 .1409E-04 .4447E-04
.2935E+03 .5764E+00 .6632E-04 .2816E-04 .9097E-04
.2940E+03 .5042E+00 .9440E-04 .3707E-04 .1265E-03
.2945E+03 .5438E+00 .1467E-03 .7550E-04 .2144E-03
.2950E+03 .5163E+00 .2197E-03 .1203E-03 .3284E-03
.2955E+03 .5825E+00 .4351E-03 .1696E-03 .5817E-03
.2960E+03 .6214E+00 .6862E-03 .2825E-03 .9325E-03
.2965E+03 .4929E+00 .7876E-03 .3425E-03 .1088E-02
.2970E+03 .4244E+00 .9072E-03 .4120E-03 .1271E-02
.2975E+03 .5980E+00 .1922E-02 .9343E-03 .2754E-02
.2980E+03 .5581E+00 .2497E-02 .1284E-02 .3649E-02
.2985E+03 .3790E+00 .2169E-02 .1164E-02 .3218E-02
.2990E+03 .5771E+00 .4150E-02 .2320E-02 .6250E-02
.2995E+03 .5217E+00 .5383E-02 .3239E-02 .8337E-02
.3000E+03 .4169E+00 .5299E-02 .3321E-02 .8339E-02
.3005E+03 .4394E+00 .6717E-02 .4369E-02 .1073E-01
.3010E+03 .4942E+00 .9878E-02 .6833E-02 .1619E-01
.3015E+03 .5298E+00 .1319E-01 .9518E-02 .2201E-01
.3020E+03 .3745E+00 .1038E-01 .7387E-02 .1722E-01
.3025E+03 .5441E+00 .1819E-01 .1271E-01 .2993E-01
.3030E+03 .6771E+00 .2843E-01 .1948E-01 .4640E-01
.3035E+03 .6891E+00 .3299E-01 .2256E-01 .5381E-01
.3040E+03 .5775E+00 .2954E-01 .2009E-01 .4807E-01
.3045E+03 .6485E+00 .3858E-01 .2626E-01 .6280E-01
.3050E+03 .6733E+00 .4869E-01 .3332E-01 .7943E-01
.3055E+03 .6128E+00 .4992E-01 .3418E-01 .8146E-01
.3060E+03 .5426E+00 .4646E-01 .3166E-01 .7566E-01
.3065E+03 .5861E+00 .5406E-01 .3674E-01 .8795E-01
.3070E+03 .6446E+00 .6887E-01 .4702E-01 .1122E+00
.3075E+03 .6519E+00 .7956E-01 .5453E-01 .1299E+00
.3080E+03 .6567E+00 .8247E-01 .5621E-01 .1343E+00
.3085E+03 .6806E+00 .9119E-01 .6941E-01 .1558E+00
.3090E+03 .5623E+00 .7928E-01 .5946E-01 .1346E+00
.3095E+03 .5136E+00 .8299E-01 .6066E-01 .1393E+00
.3100E+03 .4651E+00 .8010E-01 .5767E-01 .1335E+00
.3105E+03 .7149E+00 .1275E+00 .9075E-01 .2115E+00
.3110E+03 .8241E+00 .1547E+00 .1087E+00 .2552E+00
.3115E+03 .7648E+00 .1473E+00 .1026E+00 .2421E+00
.3120E+03 .6421E+00 .1364E+00 .9346E-01 .2226E+00
.3125E+03 .6970E+00 .1579E+00 .1068E+00 .2564E+00
.3130E+03 .7115E+00 .1671E+00 .1120E+00 .2702E+00
.3135E+03 .7257E+00 .1670E+00 .1112E+00 .2694E+00
.3140E+03 .7936E+00 .1961E+00 .1290E+00 .3147E+00
.3145E+03 .5931E+00 .1601E+00 .1041E+00 .2557E+00
.3150E+03 .7541E+00 .2079E+00 .1341E+00 .3310E+00
.3155E+03 .6804E+00 .1817E+00 .1165E+00 .2886E+00
.3160E+03 .5183E+00 .1484E+00 .9426E-01 .2348E+00
.3165E+03 .6632E+00 .2012E+00 .1267E+00 .3172E+00
.3170E+03 .8229E+00 .2507E+00 .1566E+00 .3940E+00
.3175E+03 .8804E+00 .2658E+00 .1649E+00 .4167E+00
.3180E+03 .6346E+00 .1995E+00 .1228E+00 .3117E+00
.3185E+03 .6824E+00 .2297E+00 .1412E+00 .3588E+00
.3190E+03 .7535E+00 .2627E+00 .1618E+00 .4106E+00
.3195E+03 .6833E+00 .2284E+00 .1378E+00 .3541E+00
.3200E+03 .8369E+00 .2790E+00 .1668E+00 .4310E+00
.3205E+03 .9082E+00 .3232E+00 .1950E+00 .5011E+00
.3210E+03 .7156E+00 .2689E+00 .1634E+00 .4181E+00
.3215E+03 .6753E+00 .2566E+00 .1550E+00 .3980E+00
.3220E+03 .8151E+00 .2953E+00 .1745E+00 .4541E+00
.3225E+03 .7018E+00 .2562E+00 .1504E+00 .3930E+00
.3230E+03 .6403E+00 .2432E+00 .1432E+00 .3736E+00
.3235E+03 .6833E+00 .2757E+00 .1702E+00 .4313E+00
.3240E+03 .7817E+00 .3194E+00 .1964E+00 .4989E+00
.3245E+03 .8269E+00 .3329E+00 .2018E+00 .5170E+00
.3250E+03 .7845E+00 .3056E+00 .1752E+00 .4647E+00
.3255E+03 .9417E+00 .3783E+00 .2251E+00 .5834E+00
.3260E+03 .1053E+01 .4403E+00 .2635E+00 .6805E+00
.3265E+03 .9975E+00 .4286E+00 .2569E+00 .6628E+00
.3270E+03 .1010E+01 .4327E+00 .2569E+00 .6667E+00
.3275E+03 .9966E+00 .4246E+00 .2493E+00 .6514E+00
.3280E+03 .9535E+00 .3945E+00 .2274E+00 .6011E+00
.3285E+03 .9138E+00 .3951E+00 .2293E+00 .6035E+00
.3290E+03 .1025E+01 .4564E+00 .2658E+00 .6981E+00
.3295E+03 .1140E+01 .5133E+00 .2977E+00 .7838E+00
.3300E+03 .1163E+01 .5232E+00 .3007E+00 .7963E+00
.3305E+03 .9731E+00 .4315E+00 .2445E+00 .6531E+00
.3310E+03 .1006E+01 .4445E+00 .2495E+00 .6705E+00
.3315E+03 .9821E+00 .4427E+00 .2483E+00 .6676E+00
.3320E+03 .1007E+01 .4648E+00 .2611E+00 .7013E+00
.3325E+03 .9727E+00 .4544E+00 .2545E+00 .6849E+00
.3330E+03 .9796E+00 .4574E+00 .2539E+00 .6871E+00
.3335E+03 .9170E+00 .4239E+00 .2323E+00 .6338E+00
.3340E+03 .9423E+00 .4363E+00 .2373E+00 .6505E+00
.3345E+03 .1041E+01 .4915E+00 .2674E+00 .7329E+00
.3350E+03 .9543E+00 .4561E+00 .2475E+00 .6794E+00
.3355E+03 .1073E+01 .5167E+00 .3012E+00 .7906E+00
.3360E+03 .7401E+00 .3579E+00 .2074E+00 .5463E+00
.3365E+03 .9055E+00 .4364E+00 .2318E+00 .6451E+00
.3370E+03 .7531E+00 .3622E+00 .1906E+00 .5337E+00
.3375E+03 .9398E+00 .4527E+00 .2365E+00 .6652E+00
.3380E+03 .8870E+00 .4337E+00 .2263E+00 .6370E+00
.3385E+03 .9911E+00 .4882E+00 .2697E+00 .7321E+00
.3390E+03 .9814E+00 .4860E+00 .2635E+00 .7238E+00
.3395E+03 .9386E+00 .4664E+00 .2537E+00 .6954E+00
.3400E+03 .1134E+01 .5626E+00 .2861E+00 .8189E+00
.3405E+03 .1017E+01 .5068E+00 .2562E+00 .7362E+00
.3410E+03 .9646E+00 .4850E+00 .2571E+00 .7164E+00
.3415E+03 .8886E+00 .4492E+00 .2318E+00 .6573E+00
.3420E+03 .1061E+01 .5383E+00 .2747E+00 .7845E+00
.3425E+03 .9910E+00 .5051E+00 .2551E+00 .7335E+00
.3430E+03 .1085E+01 .5542E+00 .2813E+00 .8062E+00
.3435E+03 .1018E+01 .5211E+00 .2650E+00 .7585E+00
.3440E+03 .7669E+00 .3917E+00 .2083E+00 .5793E+00
.3445E+03 .7520E+00 .3870E+00 .1980E+00 .5645E+00
.3450E+03 .9988E+00 .5175E+00 .2564E+00 .7465E+00
.3455E+03 .1019E+01 .5303E+00 .2590E+00 .7612E+00
